"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3757","TC2: Validar botón right click","sanity","Sun Feb 16 04:46:50 ART 2025","passed","Sun Feb 16 04:46:54 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","specs\buttons.test.ts","",""
"","17885","TC3: Validar botón simple","Smoke","Fri Feb 14 13:06:27 ART 2025","passed","Fri Feb 14 13:06:44 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
"","21594","TC1: Validar botón doble click","Smoke","Fri Feb 14 13:05:36 ART 2025","passed","Fri Feb 14 13:05:58 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
"","9003","TC2: Validar botón right click","Regression","Fri Feb 14 13:05:46 ART 2025","passed","Fri Feb 14 13:05:55 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
"","16714","TC2: Validar botón right click","Sanity","Fri Feb 14 14:47:18 ART 2025","passed","Fri Feb 14 14:47:34 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
"","10102","TC1: Validar botón doble click","sanity","Sun Feb 16 04:46:37 ART 2025","passed","Sun Feb 16 04:46:47 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","specs\buttons.test.ts","",""
"","7464","TC1: Validar botón doble click","Sanity","Fri Feb 14 14:47:09 ART 2025","passed","Fri Feb 14 14:47:16 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
"","7964","TC3: Validar botón simple","Regression","Fri Feb 14 13:05:55 ART 2025","passed","Fri Feb 14 13:06:03 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
"","18963","TC3: Validar botón simple","Sanity","Fri Feb 14 14:47:35 ART 2025","passed","Fri Feb 14 14:47:53 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
"","8983","TC1: Validar botón doble click","Regression","Fri Feb 14 13:05:36 ART 2025","passed","Fri Feb 14 13:05:45 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
"","4161","TC3: Validar botón simple","sanity","Sun Feb 16 04:46:54 ART 2025","passed","Sun Feb 16 04:46:58 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","specs\buttons.test.ts","",""
"","28177","TC2: Validar botón right click","Smoke","Fri Feb 14 13:05:58 ART 2025","passed","Fri Feb 14 13:06:26 ART 2025","GX3-1355: ToolsQA | Elements | Buttons","buttons.test.ts","",""
